dept_code;dept_name;muni_code;muni_name;muni_name;poblacion_2025;CEN/POP;VOTE DIF;AVEWIN;LANDSLIDE;area_km2;Pop/km2;mesas_total;censo_mujeres;censo_hombres;puestos;Personas/puesto;mesas_censo;mesas_escrutadas;Personas/mesa;DIF-MESAS;Elect/poblacion;censo_electoral;votantes;% votantes;votos_validos;votos_nulos;votos_blancos;cepeda;espriella;% blanco;% nulos;%cepeda;%espriella;SUM;DIF
7;BOYACA;58;COVARACHIA;COVARACHIA;2.755;124,07 %;1.576;TRUE;TRUE;103;27;12;1.525;1.893;5;684;12;12;285;0;124,07 %;3.418;2.097;61,35 %;2.090;5;14;250;1.826;0,67 %;0,24 %;11,92 %;87,08 %;99,90 %;-2
7;BOYACA;286;SUSACON;SUSACON;2.757;90,71 %;1.001;TRUE;TRUE;193;14;9;1.180;1.321;3;834;9;9;278;0;90,71 %;2.501;1.614;64,53 %;1.594;11;21;286;1.287;1,30 %;0,68 %;17,72 %;79,74 %;99,44 %;-9
68;VAUPES;17;TARAIRA;TARAIRA;2.765;67,85 %;-220;FALSE;FALSE;6.619;0;6;804;1.072;3;625;6;6;313;0;67,85 %;1.876;468;24,95 %;465;1;3;341;121;0,64 %;0,21 %;72,86 %;25,85 %;99,57 %;-2
7;BOYACA;136;LA UVITA;LA UVITA;2.784;85,85 %;1.079;TRUE;TRUE;176;16;9;1.143;1.247;3;797;9;9;266;0;85,85 %;2.390;1.608;67,28 %;1.598;8;25;247;1.326;1,55 %;0,50 %;15,36 %;82,46 %;99,88 %;-2
15;CUNDINAMARCA;22;BITUIMA;BITUIMA;2.832;103,46 %;872;TRUE;TRUE;61;46;10;1.282;1.648;3;977;10;10;293;0;103,46 %;2.930;1.825;62,29 %;1.812;9;30;455;1.327;1,64 %;0,49 %;24,93 %;72,71 %;99,78 %;-4
7;BOYACA;94;GACHANTIVA;GACHANTIVA;2.833;106,25 %;1.087;TRUE;TRUE;66;43;9;1.354;1.656;1;3.010;9;9;334;0;106,25 %;3.010;2.095;69,60 %;2.076;13;27;481;1.568;1,29 %;0,62 %;22,96 %;74,84 %;99,71 %;-6
1;ANTIOQUIA;7;ABRIAQUI;ABRIAQUI;2.864;70,84 %;841;TRUE;TRUE;290;10;7;928;1.101;2;1.015;7;7;290;0;70,84 %;2.029;1.214;59,83 %;1.201;9;20;170;1.011;1,65 %;0,74 %;14,00 %;83,28 %;99,67 %;-4
7;BOYACA;340;VIRACACHA;VIRACACHA;2.864;86,77 %;1.127;TRUE;TRUE;64;45;8;1.164;1.321;1;2.485;8;8;311;0;86,77 %;2.485;1.808;72,76 %;1.795;11;18;325;1.452;1,00 %;0,61 %;17,98 %;80,31 %;99,89 %;-2
7;BOYACA;77;CHIVATA;CHIVATA;2.890;116,09 %;635;TRUE;FALSE;49;59;10;1.626;1.729;1;3.355;10;10;336;0;116,09 %;3.355;2.534;75,53 %;2.522;12;31;928;1.563;1,22 %;0,47 %;36,62 %;61,68 %;100,00 %;0
7;BOYACA;280;SOMONDOCO;SOMONDOCO;2.937;98,06 %;873;TRUE;TRUE;58;51;9;1.412;1.468;1;2.880;9;9;320;0;98,06 %;2.880;1.929;66,98 %;1.910;15;19;509;1.382;0,98 %;0,78 %;26,39 %;71,64 %;99,79 %;-4
